Author,Reference,Extractor_1,duplicate,preDM_def,combined_def,n_def,subgroup,mort_report,cardiomort_report,CVD_report,CHD_report,stroke_report,HF_report,CKD_report,cohort_name,country,year_pub,years_study,mean_followup,multivar_adjust,var_adjust,n_participants,n_females,mean_age_1,mean_age_F,mean_age_M,FSG_unit,mean_FSG,mean_FSG_F,mean_FSG_M,percent_HBA1C,percent_HBA1C_F,percent_HBA1C_M,percent_CVD,percent_CVD_M,percent_CVD_F,mean_GFR,mean_GFR_F,mean_GFR_M,outcome_type,n_mort,n_mort_F,n_mort_M,HR_mort_F,LCI_mort_F,UCI_mort_F,HR_mort_M,LCI_mort_M,UCI_mort_M,n_cardiomort,n_cardiomort_F,HR_cardiomort_F,LCI_cardiomort_F,UCI_cardiomort_F,HR_cardiomort_M,LCI_cardiomort_M,UCI_cardiomort_M,n_stroke,n_stroke_F,HR_stroke_F,LCI_stroke_F,UCI_stroke_F,HR_stroke_M,LCI_stroke_M,UCI_stroke_M,n_iscstroke,n_iscstroke_F,HR_iscstroke_F,LCI_iscstroke_F,UCI_iscstroke_F,HR_iscstroke_M,LCI_iscstroke_M,UCI_iscstroke_M,n_hemstroke,n_hemstroke_F,HR_hemstroke_F,LCI_hemstroke_F,UCI_hemstroke_F,HR_hemstroke_M,LCI_hemstroke_M,UCI_hemstroke_M,CVD_def,n_CVD,n_CVD_F,HR_CVD_F,LCI_CVD_F,UCI_CVD_F,HR_CVD_M,LCI_CVD_M,UCI_CVD_M,CHD_def,n_CHD,n_CHD_F,HR_CHD_F,LCI_CHD_F,UCI_CHD_F,HR_CHD_M,LCI_CHD_M,UCI_CHD_M,CKD_def,n_CKD,n_CKD_F,HR_CKD_F,LCI_CKD_F,UCI_CKD_F,HR_CKD_M,LCI_CKD_M,UCI_CKD_M,n_HF,n_HF_F,HR_HF_F,LCI_HF_F,UCI_HF_F,HR_HF_M,LCI_HF_M,UCI_HF_M
"European Diabetes Epidemiology Group, 2001",3. Glucose tolerance and cardiovascular mortality: comparison of fasting and 2-hour diagnostic criteria. Arch Intern Med 2001;161(3):397-405.,Tyler,1,1,NA,1,6.1-6.9 mmol/L,1,1,0,0,0,0,0,DECODE,Europe (various),2001,NA,NA,1,"age, center, BMI, systolic blood pressure, serum cholesterol level, smoking status",21062,6686,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,485.58,27.9,,1.2,0.81,1.79,1.1,0.99,1.22,138.929,11.16,1.53,0.81,2.9,1.03,0.85,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Diabetes Epidemiology Group, 2001",3. Glucose tolerance and cardiovascular mortality: comparison of fasting and 2-hour diagnostic criteria. Arch Intern Med 2001;161(3):397-405.,Tyler,1,2,NA,1,7.8 - 11 mmol/L,1,1,0,0,0,0,0,DECODE,Europe (various),2001,NA,NA,1,"age, center, BMI, systolic blood pressure, serum cholesterol level, smoking status",21062,6623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,558.944,95.172,,1.25,0.98,1.58,1.42,1.28,1.57,192.31,38.808,1.28,0.88,1.86,1.34,1.12,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hu et al., 2003",10. Hu G. Gender difference in all-cause and cardiovascular mortality related to hyperglycaemia and newly-diagnosed diabetes. Diabetologia 2003;46(5):608-17.,Modupe,2,5,WHO FPG + OGTT 2hPG ,1,PreDM,1,1,0,0,0,0,0,DECODE,Europe (various),2003,NA,8.3,1,"adjusted for age, centre, BMI, systolic blood pressure, total cholesterol and smoking.",16482,8867,55.30532702,55.39290628,55.20334865,0,5.344509162,5.27322657,5.43,,NA,NA,NA,NA,NA,NA,NA,NA,0,1606,584,,1.31,NA,NA,1.19,NA,NA,613,186,1.25,NA ,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McNeill et al., 2005","18. McNeill AM, Rosamond WD, Girman CJ, Golden SH, Schmidt MI, East HE, et al. The metabolic syndrome and 11-year risk of incident cardiovascular disease in the atherosclerosis risk in communities study. Diabetes Care 2005;28(2):385-90.",Tyler,3,0,NA,0,100-125 mg/dL,0,0,0,1,0,0,0,ARIC,USA,2005,1987-1999,11,1,"age, race/ARIC center, LDL cholesterol, and smoking.",12089,6881,54,54,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.25,2.89,1.52,1.05,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incident CHD included fatal or nonfatal hospitalized myocardial infarction, fatal CHD, silent myocardial infarction identified by electrocardiography, or coronary revascularization.",NA,NA,2.11,1.64,2.72,1.39,1.18,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McNeill et al., 2006","24. McNeill AM, Katz R, Girman CJ, Rosamond WD, Wagenknecht LE, Barzilay JI, et al. Metabolic syndrome and cardiovascular disease in older people: The cardiovascular health study. J Am Geriatr Soc 2006;54(9):1317-24.",Modupe,4,1,NA,1,6.1-6.9 mmol/L,0,0,0,1,0,0,0,CHS (cardiovascular health study),USA,2006,1989-2001,11,1,adjusted for age and race.,3585,2229,72,72.06078959,73.01017699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"first occurrence of angina pectoris, MI, CABG, or angioplasty or CHD death.",116,60,1.31,1.02,1.68,1.45,1.15,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McNeill et al., 2006","24. McNeill AM, Katz R, Girman CJ, Rosamond WD, Wagenknecht LE, Barzilay JI, et al. Metabolic syndrome and cardiovascular disease in older people: The cardiovascular health study. J Am Geriatr Soc 2006;54(9):1317-24.",,4,0,NA,1,5.6-6.9 mmol/L,0,0,0,1,0,0,0,CHS (cardiovascular health study),USA,2006,1989-2001,11,1,adjusted for age and race.,3585,2229,72,72.06078959,73.01017699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"first occurrence of angina pectoris, MI, CABG, or angioplasty or CHD death.",264,139,1.08,0.89,1.31,1.28,1.05,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doi et al., 2010","47. Doi Y, Ninomiya T, Hata J, Fukuhara M, Yonemoto K, Iwase M, et al. Impact of glucose tolerance status on development of ischemic stroke and coronary heart disease in a general Japanese population: the Hisayama study. Stroke 2010;41(2):203-9.",Modupe,5,2,NA,1,7.8-11.0 mmol/L,0,0,0,1,1,0,0,Hisayama study,Japan ,2009,1988-2002,14,1,"Multivariable adjustment was made for age, systolic blood pressure, electrocardiogram abnormalities, body mass index, total and high-density lipoprotein cholesterol, smoking habits, alcohol intake, and regular exercise.",2130.165,1249.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,13,0.88,0.46,1.7,0.91,0.44,1.89,NA,NA,NA,NA,NA,NA,NA,NA,"Combination of CHD and Ischemic stroke: CHD included acute myocardial infarction, silent myocardial infarction, sudden cardiac death within 1 hour after the onset of acute illness, and coronary artery disease treated by coronary artery bypass surgery or angioplasty.In principle, stroke was defined as a sudden onset of nonconvulsive and focal neurological deficit persisting for  24 hours. The diagnosis and classification of stroke were determined on the basis of clinical information, including brain CT and MRI, cerebral angiography, echocardiography, carotid duplex imaging, or autopsy findings.",48,19,NA,NA,NA,NA,NA,NA,"CHD included acute myocardial infarction, silent myocardial infarction, sudden cardiac death within 1 hour after the onset of acute illness, and coronary artery disease treated by coronary artery bypass surgery or angioplasty.",24,6,0.82,0.31,2.15,1.11,0.62,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doi et al., 2010","47. Doi Y, Ninomiya T, Hata J, Fukuhara M, Yonemoto K, Iwase M, et al. Impact of glucose tolerance status on development of ischemic stroke and coronary heart disease in a general Japanese population: the Hisayama study. Stroke 2010;41(2):203-9.",,5,1,NA,1,6.1-6.9 mmol/L,0,0,0,1,1,0,0,Hisayama study,Japan ,2009,1988-2002,14,1,"Multivariable adjustment was made for age, systolic blood pressure, electrocardiogram abnormalities, body mass index, total and high-density lipoprotein cholesterol, smoking habits, alcohol intake, and regular exercise.",2130.165,1249.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,1.89,0.82,4.34,0.41,0.1,1.74,NA,NA,NA,NA,NA,NA,NA,NA,"Combination of CHD and Ischemic stroke: CHD included acute myocardial infarction, silent myocardial infarction, sudden cardiac death within 1 hour after the onset of acute illness, and coronary artery disease treated by coronary artery bypass surgery or angioplasty.In principle, stroke was defined as a sudden onset of nonconvulsive and focal neurological deficit persisting for  24 hours. The diagnosis and classification of stroke were determined on the basis of clinical information, including brain CT and MRI, cerebral angiography, echocardiography, carotid duplex imaging, or autopsy findings.",15,8,NA,NA,NA,NA,NA,NA,"CHD included acute myocardial infarction, silent myocardial infarction, sudden cardiac death within 1 hour after the onset of acute illness, and coronary artery disease treated by coronary artery bypass surgery or angioplasty.",6,1,0.48,0.06,3.76,0.8,0.31,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khang et al., 2010","48. Khang YH, Cho SI, Kim HR. Risks for cardiovascular disease, stroke, ischaemic heart disease, and diabetes mellitus associated with the metabolic syndrome using the new harmonised definition: findings from nationally representative longitudinal data from an Asian population. Atherosclerosis 2010;213(2):579-85.",Tyler,6,0,NA,0,100-125 mg/dl,0,0,1,1,1,0,0,K-NHANES,South Korea,2010,1998-2005,5.8,1,"model I adjusted for survey year (1998 and 2001) and age (age and age squared); model II adjusted for cigarette smoking, LDL cholesterol, alcohol consumption, and physical exercise as well as the covariates in model I; model III adjusted for socioeconomic status (education and household income), marital status, family history, and resting heart rate as well as the covariates in model II.",9791,5400,43.21030538,43.3,43.1,1,93.86908385,93.6,94.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,96,0.83,0.55,1.27,0.83,0.54,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stroke and ischaemic heart disease constituted cardiovascular disease,288,142,0.93,0.66,1.3,0.92,0.66,1.29,"ICD codes for ischaemic heart disease (I20–I25),",122,59,1.34,0.8,2.25,1.04,0.63,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kokubo et al., 2010","49. Kokubo Y, Okamura T, Watanabe M, Higashiyama A, Ono Y, Miyamoto Y, et al. The combined impact of blood pressure category and glucose abnormality on the incidence of cardiovascular diseases in a Japanese urban cohort: the Suita Study. Hypertens Res 2010;33(12):1238-43.",Tomiwa,7,0,NA,0,5.6-6.9 mmol/L,0,0,1,1,1,0,0,Suita study,Japan ,2010,1989-1994,11.7,1,"Age, BMI, hypertension, hyperlipidemia, smoking and drinking status",5069,2737,54.28112054,53.56265985,55.12435678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,28,1.36,0.84,2.19,0.97,0.64,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVD was defined as stroke or CHD,139,48,1.49,1.02,2.16,1.13,0.85,1.51,"The criteria for a diagnosis of CHD included first ever acute myocardial infarction, sudden cardiac death within 24 h after the onset of acute illness or coronary artery disease followed by coronary artery bypass surgery or angioplasty",70,20,1.83,1.01,3.32,1.31,0.87,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
